Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Average Precision,True Negatives (TN),False Positives (FP),False Negatives (FN),True Positives (TP)
Logistic Regression,0.9745970998209332,0.058862001308044476,0.9183673469387755,0.11063306699446834,0.9712055545347008,0.7250575063969292,55425,1439,8,90
Random Forest,0.9994557775359011,0.8602150537634409,0.8163265306122449,0.837696335078534,0.9703017690615919,0.8707388963265189,56851,13,18,80
XGBoost,0.996892665285629,0.3413654618473896,0.8673469387755102,0.4899135446685879,0.9767140431017652,0.8295703812672862,56700,164,13,85
